"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"1263"	"CRBA002868"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1264"	"CRBA002869"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1265"	"CRBA002870"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1266"	"CRBA002871"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1267"	"CRBA002872"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1268"	"CRBA002873"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1269"	"CRBA002874"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1270"	"CRBA002875"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1271"	"CRBA002876"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1272"	"CRBA002877"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1273"	"CRBA002878"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1274"	"CRBA002879"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1275"	"CRBA002880"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1276"	"CRBA002881"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1277"	"CRBA002882"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1278"	"CRBA002932"	"Arnedo, Bellvert & Rozas"	"3/23/2017"	"Ventejís. Tiñor"	"Valverde"	"El Hierro"	"Canary Islands"	27.785991	-17.937508	"Dysdera"	"Western Canarian"	"silvatica_H"
"1279"	"nhm000289"	"GIET"	"9/15/2000"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1280"	"NMH000011"	"P. Oromí"	"5/16/1984"	"Fuente Mencáfite"	"El Golfo"	"El Hierro"	"Canary Islands"	27.735497	-18.085804	"Dysdera"	"Western Canarian"	"silvatica_H"
"1281"	"NMH000030"	"GIET"	"2/14/2004"	"Hoya del Pino"	"Frontera"	"El Hierro"	"Canary Islands"	27.737154	-18.046305	"Dysdera"	"Western Canarian"	"silvatica_H"
"1282"	"NMH001439"	"N. Macías"	"4/9/2006"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1283"	"NMH002524"	"N. Macías & S. de la Cruz"	"4/21/2013"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1284"	"NMH002525"	"N. Macías & S. de la Cruz"	"4/21/2013"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1285"	"NMH002526"	"N. Macías & S. de la Cruz"	"4/21/2013"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1286"	"NMH002527"	"N. Macías & S. de la Cruz"	"4/21/2013"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1287"	"NMH002528"	"N. Macías & S. de la Cruz"	"4/21/2013"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1288"	"NMH002722"	"H. López & H. Morales"	"7/24/2010"	"Pista del Mercader"	"El Pinar"	"El Hierro"	"Canary Islands"	27.712944	-18.022175	"Dysdera"	"Western Canarian"	"silvatica_H"
"1289"	"NMH002724"	"P. Oromí & H. López"	"1/22/2011"	"Pista del Derrabado"	"Frontera"	"El Hierro"	"Canary Islands"	27.740804	-18.05308	"Dysdera"	"Western Canarian"	"silvatica_H"
"1290"	"NMH003204"	"H. López & H. Morales"	"7/23/2010"	"Pista del Derrabado"	"Frontera"	"El Hierro"	"Canary Islands"	27.740804	-18.05308	"Dysdera"	"Western Canarian"	"silvatica_H"
"1291"	"NMH003210"	"GIET"	"2/20/2006"	"Cueva de Jinama"	""	"El Hierro"	"Canary Islands"	27.773536	-17.984089	"Dysdera"	"Western Canarian"	"silvatica_H"
"1292"	"NMH003211"	"GIET"	"2/20/2006"	"Cueva de Jinama"	""	"El Hierro"	"Canary Islands"	27.773536	-17.984089	"Dysdera"	"Western Canarian"	"silvatica_H"
"1293"	"NMH003212"	"H. López"	"6/28/2009"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1294"	"NMH003213"	"GIET"	"2/22/2006"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1295"	"NMH003234"	"GIET"	"2/22/2006"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1296"	"ULL3842"	"GIET"	"9/15/2000"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1297"	"ULL3917"	"GIET"	"9/15/2000"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1298"	"ULL4280"	"GIET"	"9/15/2000"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1299"	"CRBA001842"	"M. Rezac"	"10/15/2010"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1300"	"CRBA002761"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1301"	"CRBA002762"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1302"	"CRBA002768"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1303"	"2"	"P. Oromí & Arnedo"	"4/29/1995"	"Pajarito"	"Hermigua"	"La Gomera"	"Canary Islands"	28.108856	-17.241604	"Dysdera"	"Western Canarian"	"silvatica_G"
"1304"	"CRBA001092"	"P. Oromí"	"1/30/2003"	"Barranco de Matasnos, Campamento Viejo, Monte del Cedro "	""	"La Gomera"	"Canary Islands"	28.119131	-17.215838	"Dysdera"	"Western Canarian"	"silvatica_G"
"1305"	"CRBA001451"	""	"8/6/2002"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1306"	"CRBA001845"	"M. Rezac"	"10/15/2010"	"El Cedro, humid laurel forest"	""	"La Gomera"	"Canary Islands"	28.125809	-17.216616	"Dysdera"	"Western Canarian"	"silvatica_G"
"1307"	"CRBA001869"	"E. Planas & R. Espluga"	"2/15/2011"	"Barranco de Paijén"	""	"La Gomera"	"Canary Islands"	28.08845	-17.20142	"Dysdera"	"Western Canarian"	"silvatica_G"
"1308"	"CRBA002362"	"La Gomera"	"11/3/2013"	"Las Creces"	"P.N. Garajonay"	"La Gomera"	"Canary Island"	28.138737	-17.287852	"Dysdera"	"Western Canarian"	"silvatica_G"
"1309"	"CRBA002364"	"M. Roca-Cusachs"	"11/5/2013"	"Las Tajoras"	"P.N. Garajonay"	"La Gomera"	"Canary Island"	28.112834	-17.262608	"Dysdera"	"Western Canarian"	"silvatica_G"
"1310"	"CRBA002720"	"Arnedo, Bellvert & Oromí"	"3/16/2017"	"Bosque del Cedro"	"Hermigüa"	"La Gomera"	"Canary Islands"	28.137044	-17.222569	"Dysdera"	"Western Canarian"	"silvatica_G"
"1311"	"CRBA002721"	"Arnedo, Bellvert & Oromí"	"3/16/2017"	"Bosque del Cedro"	"Hermigüa"	"La Gomera"	"Canary Islands"	28.137044	-17.222569	"Dysdera"	"Western Canarian"	"silvatica_G"
"1312"	"CRBA002722"	"Arnedo, Bellvert & Oromí"	"3/16/2017"	"Bosque del Cedro"	"Hermigüa"	"La Gomera"	"Canary Islands"	28.137044	-17.222569	"Dysdera"	"Western Canarian"	"silvatica_G"
"1313"	"CRBA002737"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1314"	"CRBA002740"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1315"	"CRBA002745"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1316"	"CRBA002749"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1317"	"CRBA002750"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
"1318"	"CRBA002754"	"Arnedo, Bellvert & Oromí"	"3/17/2017"	"Teselinde. Ermita de Santa Clara"	"Vallehermoso"	"La Gomera"	"Canary Islands"	28.1963	-17.28754	"Dysdera"	"Western Canarian"	"silvatica_G"
